candidato,data,percentual,n_respostas
Wladimir Garotinho,15/09/2020,33,1000
Caio Vianna,15/09/2020,23,1000
Rafael Diniz ,15/09/2020,3,1000
Dr. Bruno Calil,15/09/2020,4,1000
Wladimir Garotinho,29/09/2020,26,720
Caio Vianna,29/09/2020,14,720
Rafael Diniz ,29/09/2020,9,720
Odisseia,29/09/2020,3,720
Dr. Bruno Calil,29/09/2020,2,720
Alexandre Tadeu Tô Contigo ,29/09/2020,5,720
Dra. Carla Waleska,29/09/2020,1,720
Professora Natália,29/09/2020,2,720
Roberto Henriques,29/09/2020,1,720
Claudio Rangel,29/09/2020,1,720
Jonathan Paes,29/09/2020,0,720
Brancos/Nulos,29/09/2020,19,720
Não sabe/Não respondeu,29/09/2020,18,720
Wladimir Garotinho,25/10/2020,30,1000
Caio Vianna,25/10/2020,23.4,1000
Rafael Diniz ,25/10/2020,9,1000
Odisseia,25/10/2020,1,1000
Dr. Bruno Calil,25/10/2020,3,1000
Alexandre Tadeu Tô Contigo ,25/10/2020,2,1000
Dra. Carla Waleska,25/10/2020,,1000
Professora Natália,25/10/2020,1.2,1000
Roberto Henriques,25/10/2020,0.7,1000
Claudio Rangel,25/10/2020,0.4,1000
Jonathan Paes,25/10/2020,,1000
Brancos/Nulos,25/10/2020,6,1000
Não sabe/Não respondeu,25/10/2020,1,1000
Wladimir Garotinho,29/10/2020,28.1,800
Caio Vianna,29/10/2020,23.5,800
Rafael Diniz ,29/10/2020,6.6,800
Odisseia,29/10/2020,3,800
Dr. Bruno Calil,29/10/2020,7.2,800
Alexandre Tadeu Tô Contigo ,29/10/2020,2.9,800
Dra. Carla Waleska,29/10/2020,0.4,800
Professora Natália,29/10/2020,3.4,800
Roberto Henriques,29/10/2020,1.1,800
Claudio Rangel,29/10/2020,0.8,800
Jonathan Paes,29/10/2020,0.1,800
Brancos/Nulos,29/10/2020,16.1,800
Não sabe/Não respondeu,29/10/2020,6.8,800
Wladimir Garotinho,08/11/2020,27.9,600
Caio Vianna,08/11/2020,13.1,600
Rafael Diniz ,08/11/2020,3.4,600
Odisseia,08/11/2020,0.2,600
Dr. Bruno Calil,08/11/2020,16.7,600
Alexandre Tadeu Tô Contigo ,08/11/2020,0.3,600
Dra. Carla Waleska,08/11/2020,0.2,600
Professora Natália,08/11/2020,0.3,600
Roberto Henriques,08/11/2020,0.2,600
Claudio Rangel,08/11/2020,0.9,600
Jonathan Paes,08/11/2020,0.3,600
Brancos/Nulos,08/11/2020,0.9,600
Não sabe/Não respondeu,08/11/2020,27.9,600
Wladimir Garotinho,25/11/2020,50,602
Caio Vianna,25/11/2020,38,602
Brancos/Nulos,25/11/2020,9,602
Não sabe/Não respondeu,25/11/2020,3,602
